origin,product,perc,sum_kg_product,category
BADAJOZ,CONSERVAS,0.38,20240,Verdura
BADAJOZ,CUARTA,0.05,2890,Verdura
BADAJOZ,ELABORADOS,0.06,3100,Verdura
BADAJOZ,ESCAROLAS,0.23,12120,Verdura
BADAJOZ,ESPARRAGO,9.67,512210,Verdura
BADAJOZ,ESPINACAS,1.01,53580,Verdura
BADAJOZ,HUEVOS,0.1,5080,Huevos
BADAJOZ,JUDIA,0.11,6000,Verdura
BADAJOZ,LECHUGA,0.31,16300,Verdura
BADAJOZ,MANZANA,0.05,2500,Fruta
BADAJOZ,MELOCOTON,31.87,1688140,Fruta
BADAJOZ,MELONES,0.03,1500,Fruta
BADAJOZ,NARANJA,0.3,15700,Fruta
BADAJOZ,NECTARINA,9.69,513240,Fruta
BADAJOZ,NUECES,0.31,16560,Fruta
BADAJOZ,OVINO,9.15,484458,Carne
BADAJOZ,PATATA,0.17,9000,Patata
BADAJOZ,PEPINO,0.01,500,Verdura
BADAJOZ,PERA,0.06,3079,Fruta
BADAJOZ,POLLO,1.95,103500,Pollo
BADAJOZ,PORCINO,1.23,65260,Carne
BADAJOZ,PUERROS,4.1,217000,Verdura
BADAJOZ,SETAS,0.12,6360,Verdura
BADAJOZ,TOMATE,0.41,21600,Verdura
BADAJOZ,VACUNO,1.41,74820,Carne
BARCELONA,ALMENDRA,0.09,6185,Fruta
BARCELONA,AÑOJO,6.09,421219,Carne
BARCELONA,ATUN,0.16,10821,Pescado
BARCELONA,ATUN,0.38,26160,Pescado congelado
BARCELONA,AVICOLA,0.16,11220,Pollo
BARCELONA,BACALAO,0.78,54080,Pescado congelado
BARCELONA,BOGAVANTE,0.01,360,Marisco
BARCELONA,BONITO,0.03,2000,Pescado congelado
BARCELONA,BOQUERON,0.5,34283,Pescado
BARCELONA,BOQUERON,0.33,23000,Pescado congelado
BARCELONA,CABALLA,0.02,1500,Pescado
BARCELONA,CACAHUETE,0.18,12370,Fruta
BARCELONA,CALAMAR,0.01,476,Pescado
BARCELONA,CALAMAR,0.77,53180,Pescado congelado
BARCELONA,CALAMARES,0.02,1258,Pescado congelado
BARCELONA,CEBOLLA,0.06,4000,Verdura
BARCELONA,CHIPIRONES,0.03,2000,Pescado congelado
